npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  3/6/2026 10:05:26 AM ::1 HEAD /experiments/backward-masking.html
 HTTP  3/6/2026 10:05:26 AM ::1 Returned 301 in 330 ms
 HTTP  3/6/2026 10:05:34 AM ::1 HEAD /experiments/backward-masking
 HTTP  3/6/2026 10:05:34 AM ::1 Returned 200 in 6 ms
 HTTP  3/6/2026 10:06:37 AM ::1 GET /experiments/backward-masking.html
 HTTP  3/6/2026 10:06:37 AM ::1 Returned 301 in 3 ms
 HTTP  3/6/2026 10:06:37 AM ::1 GET /experiments/backward-masking
 HTTP  3/6/2026 10:06:37 AM ::1 Returned 200 in 12 ms
 HTTP  3/6/2026 10:06:37 AM ::1 GET /jspsych/css/jspsych.css
 HTTP  3/6/2026 10:06:37 AM ::1 GET /jspsych/dist/jspsych.js
 HTTP  3/6/2026 10:06:37 AM ::1 GET /jspsych/plugins/html-button-response.js
 HTTP  3/6/2026 10:06:37 AM ::1 GET /experiments/backward-masking.js
 HTTP  3/6/2026 10:06:37 AM ::1 Returned 200 in 14 ms
 HTTP  3/6/2026 10:06:37 AM ::1 Returned 200 in 15 ms
 HTTP  3/6/2026 10:06:37 AM ::1 Returned 200 in 18 ms
 HTTP  3/6/2026 10:06:37 AM ::1 Returned 200 in 34 ms
 HTTP  3/6/2026 10:06:38 AM ::1 GET /shared-resources/things_images/manifest.json
 HTTP  3/6/2026 10:06:38 AM ::1 Returned 200 in 5 ms
 HTTP  3/6/2026 10:06:38 AM ::1 GET /shared-resources/things_images/neutral_images/bread_01b.jpg
 HTTP  3/6/2026 10:06:38 AM ::1 Returned 200 in 3 ms
 HTTP  3/6/2026 10:06:38 AM ::1 GET /shared-resources/things_images/neutral_images/ship_01b.jpg
 HTTP  3/6/2026 10:06:38 AM ::1 GET /shared-resources/things_images/neutral_images/slicer_01b.jpg
 HTTP  3/6/2026 10:06:38 AM ::1 Returned 200 in 4 ms
 HTTP  3/6/2026 10:06:38 AM ::1 Returned 200 in 3 ms
 HTTP  3/6/2026 10:06:38 AM ::1 GET /shared-resources/things_images/neutral_images/sheep_01b.jpg
 HTTP  3/6/2026 10:06:38 AM ::1 Returned 200 in 1 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/grinder_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/light_switch_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 10 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 10 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/crepe_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 2 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/footrest_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 2 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/screw_01s.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 3 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/chocolate_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 2 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/tile_01s.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/frisbee_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/mirror_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/sunglasses_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/pantyhose_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/sauce_02s.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 10 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 12 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 11 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 10 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 11 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 11 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/mashed_potato_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/accordion_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/pajamas_02s.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/dial_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/gearshift_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/sleeping_bag_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 8 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 8 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 7 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 7 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 6 ms
 HTTP  3/6/2026 10:06:39 AM ::1 Returned 200 in 6 ms
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/wineglass_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/chalkboard_02s.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/mousse_01b.jpg
 HTTP  3/6/2026 10:06:39 AM ::1 GET /shared-resources/things_images/neutral_images/ruby_01b.jpg
